Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Heart Rate (count/min),Steps (count)
05-Nov-2016 06:00,05-Nov-2016 07:00,0.0,0.0,0.0,0.0,0.0
05-Nov-2016 07:00,05-Nov-2016 08:00,0.0,0.0,0.0,0.0,0.0
05-Nov-2016 08:00,05-Nov-2016 09:00,0.0,0.0,0.0,0.0,0.0
05-Nov-2016 09:00,05-Nov-2016 10:00,0.0,0.0,0.0,0.0,0.0
05-Nov-2016 10:00,05-Nov-2016 11:00,0.0,0.0383883122564172,0.0,0.0,0.0
05-Nov-2016 11:00,05-Nov-2016 12:00,0.0,0.0,0.0,0.0,0.0
05-Nov-2016 12:00,05-Nov-2016 13:00,0.0,0.0,0.0,0.0,0.0
05-Nov-2016 13:00,05-Nov-2016 14:00,0.0,0.0361327348285974,0.0,0.0,0.0
05-Nov-2016 14:00,05-Nov-2016 15:00,0.0,0.0,0.0,0.0,0.0
05-Nov-2016 15:00,05-Nov-2016 16:00,0.0,0.0,0.0,0.0,0.0
05-Nov-2016 16:00,05-Nov-2016 17:00,0.0,0.0606899431698917,1.0,0.0,0.0
05-Nov-2016 17:00,05-Nov-2016 18:00,0.0,0.0356053983152414,0.0,0.0,0.0
05-Nov-2016 18:00,05-Nov-2016 19:00,0.0,0.0274072354654764,0.0,0.0,0.0
05-Nov-2016 19:00,05-Nov-2016 20:00,0.0,0.0361265211166737,0.0,0.0,0.0
05-Nov-2016 20:00,05-Nov-2016 21:00,0.0,0.0,0.0,0.0,0.0
05-Nov-2016 21:00,05-Nov-2016 22:00,0.0,0.00189043203796607,0.0,0.0,0.0
05-Nov-2016 22:00,05-Nov-2016 23:00,0.0,0.00925696715077315,1.0,0.0,0.0
05-Nov-2016 23:00,06-Nov-2016 00:00,0.0,0.0,0.0,0.0,0.0
06-Nov-2016 00:00,06-Nov-2016 01:00,0.0,0.0,0.0,0.0,0.0
06-Nov-2016 01:00,06-Nov-2016 01:00,0.0,0.0,0.0,0.0,0.0
06-Nov-2016 01:00,06-Nov-2016 02:00,0.0,0.0,0.0,0.0,0.0
06-Nov-2016 02:00,06-Nov-2016 03:00,0.0,0.0,0.0,0.0,0.0
06-Nov-2016 03:00,06-Nov-2016 04:00,0.0,0.0,0.0,0.0,0.0
06-Nov-2016 04:00,06-Nov-2016 05:00,0.0,0.0,0.0,0.0,0.0
06-Nov-2016 05:00,06-Nov-2016 06:00,0.0,0.0,0.0,0.0,0.0
06-Nov-2016 06:00,06-Nov-2016 07:00,0.0,0.0,0.0,0.0,0.0
06-Nov-2016 07:00,06-Nov-2016 08:00,0.0,0.0,0.0,0.0,0.0
06-Nov-2016 08:00,06-Nov-2016 09:00,0.0,0.000945816405531672,0.0,0.0,0.0
06-Nov-2016 09:00,06-Nov-2016 10:00,0.0,0.3139970303338,0.0,0.0,0.0
06-Nov-2016 10:00,06-Nov-2016 11:00,0.0,0.0850400034157396,0.0,0.0,0.0
06-Nov-2016 11:00,06-Nov-2016 12:00,0.0,0.0,0.0,0.0,0.0
06-Nov-2016 12:00,06-Nov-2016 13:00,0.0,0.0268829608449598,0.0,0.0,0.0
06-Nov-2016 13:00,06-Nov-2016 14:00,0.0,0.988735825443061,2.0,0.0,0.0
06-Nov-2016 14:00,06-Nov-2016 15:00,0.0,0.285025397650164,0.0,0.0,0.0
06-Nov-2016 15:00,06-Nov-2016 16:00,0.0,0.405498194571304,0.0,0.0,0.0
06-Nov-2016 16:00,06-Nov-2016 17:00,0.0,0.0684502505368669,1.0,0.0,0.0
06-Nov-2016 17:00,06-Nov-2016 18:00,0.0,0.0,0.0,0.0,0.0
06-Nov-2016 18:00,06-Nov-2016 19:00,0.0,0.0139622106895736,0.0,0.0,0.0
06-Nov-2016 19:00,06-Nov-2016 20:00,0.0,0.0,0.0,0.0,0.0
06-Nov-2016 20:00,06-Nov-2016 21:00,0.0,0.0101842738407741,0.0,0.0,0.0
06-Nov-2016 21:00,06-Nov-2016 22:00,0.0,0.0454905849836947,1.0,0.0,0.0
06-Nov-2016 22:00,06-Nov-2016 23:00,0.0,0.0,0.0,0.0,0.0
06-Nov-2016 23:00,07-Nov-2016 00:00,0.0,0.0,0.0,0.0,0.0
07-Nov-2016 00:00,07-Nov-2016 01:00,0.0,0.0,0.0,0.0,0.0
07-Nov-2016 01:00,07-Nov-2016 02:00,0.0,0.0,0.0,0.0,0.0
07-Nov-2016 02:00,07-Nov-2016 03:00,0.0,0.0,0.0,0.0,0.0
07-Nov-2016 03:00,07-Nov-2016 04:00,0.0,0.0,0.0,0.0,0.0
07-Nov-2016 04:00,07-Nov-2016 05:00,0.0,0.0,0.0,0.0,0.0
07-Nov-2016 05:00,07-Nov-2016 06:00,0.0,0.0,0.0,0.0,0.0
07-Nov-2016 06:00,07-Nov-2016 07:00,0.0,0.0,0.0,0.0,0.0
07-Nov-2016 07:00,07-Nov-2016 08:00,0.0,0.0683064950180034,1.0,0.0,0.0
07-Nov-2016 08:00,07-Nov-2016 09:00,0.0,1.0461103108358,1.0,0.0,0.0
07-Nov-2016 09:00,07-Nov-2016 10:00,0.0,0.0533152124926519,0.0,0.0,0.0
